timestamp,bus,id,extended,dlc,data,signal,value,receiver_result,suite_result
2026-06-12T21:22:07,0,0x100,0,1,28,Vehicle Speed,40,PASS,PASS
2026-06-12T21:22:08,0,0x100,0,1,50,Vehicle Speed,80,PASS,PASS
2026-06-12T21:22:09,0,0x100,0,1,FF,Vehicle Speed,255,FAIL,PASS
2026-06-12T21:22:10,0,0x200,0,1,78,Engine RPM,120,PASS,PASS
2026-06-12T21:22:11,0,0x200,0,1,FA,Engine RPM,250,FAIL,PASS
2026-06-12T21:22:12,0,0x300,0,1,0C,Battery Voltage,12,PASS,PASS
2026-06-12T21:22:13,0,0x300,0,1,09,Battery Voltage,9,FAIL,PASS
2026-06-12T21:22:14,0,0x400,0,1,01,Brake Status,1,PASS,PASS
2026-06-12T21:22:15,0,0x400,0,1,03,Brake Status,3,FAIL,PASS
2026-06-12T21:22:16,0,0x500,0,1,5A,Coolant Temperature,90,PASS,PASS
2026-06-12T21:22:17,0,0x500,0,1,82,Coolant Temperature,130,FAIL,PASS
2026-06-12T21:22:18,0,0x100,0,1,28,Vehicle Speed,40,PASS,PASS
2026-06-12T21:22:19,0,0x100,0,1,50,Vehicle Speed,80,PASS,PASS
2026-06-12T21:22:20,0,0x100,0,1,FF,Vehicle Speed,255,FAIL,PASS
2026-06-12T21:22:21,0,0x200,0,1,78,Engine RPM,120,PASS,PASS
2026-06-12T21:22:22,0,0x200,0,1,FA,Engine RPM,250,FAIL,PASS
2026-06-12T21:22:23,0,0x300,0,1,0C,Battery Voltage,12,PASS,PASS
2026-06-12T21:22:24,0,0x300,0,1,09,Battery Voltage,9,FAIL,PASS
2026-06-12T21:22:26,0,0x400,0,1,01,Brake Status,1,PASS,PASS
2026-06-12T21:22:27,0,0x400,0,1,03,Brake Status,3,FAIL,PASS
2026-06-12T21:22:28,0,0x500,0,1,5A,Coolant Temperature,90,PASS,PASS
2026-06-12T21:22:29,0,0x500,0,1,82,Coolant Temperature,130,FAIL,PASS
2026-06-12T21:22:30,0,0x100,0,1,28,Vehicle Speed,40,PASS,PASS
2026-06-12T21:22:31,0,0x100,0,1,50,Vehicle Speed,80,PASS,PASS
2026-06-12T21:22:32,0,0x100,0,1,FF,Vehicle Speed,255,FAIL,PASS
2026-06-12T21:22:33,0,0x200,0,1,78,Engine RPM,120,PASS,PASS
2026-06-12T21:22:34,0,0x200,0,1,FA,Engine RPM,250,FAIL,PASS
2026-06-12T21:22:35,0,0x300,0,1,0C,Battery Voltage,12,PASS,PASS
2026-06-12T21:22:36,0,0x300,0,1,09,Battery Voltage,9,FAIL,PASS
2026-06-12T21:22:37,0,0x400,0,1,01,Brake Status,1,PASS,PASS
